wallSec,fps,dtAvg,dtMax,simRatio,realRatio,fixedHz,fixedDt,maxDeltaTime,timeScale,targetFps,vSyncCount,time,focused,runInBackground
211.63,55,0.0185,0.0333,1.000,1.000,60.1,0.0167,1.0000,1.00,400,0,195.15,0,1
212.63,54,0.0185,0.0313,0.999,0.999,59.9,0.0167,1.0000,1.00,400,0,196.15,0,1
213.63,54,0.0186,0.0399,1.000,1.000,59.9,0.0167,1.0000,1.00,400,0,197.15,0,1
214.63,55,0.0182,0.0336,1.001,1.001,60.0,0.0167,1.0000,1.00,400,0,198.15,0,1
215.64,57,0.0177,0.0329,1.000,1.000,60.4,0.0167,1.0000,1.00,400,0,199.16,0,1
216.66,56,0.0181,0.0319,1.000,1.000,60.3,0.0167,1.0000,1.00,400,0,200.17,0,1
217.66,54,0.0187,0.0346,0.999,0.999,59.5,0.0167,1.0000,1.00,400,0,201.18,0,1
218.67,55,0.0183,0.0333,1.000,1.000,60.7,0.0167,1.0000,1.00,400,0,202.19,0,1
219.67,57,0.0177,0.0324,1.002,1.002,59.7,0.0167,1.0000,1.00,400,0,203.19,0,1
220.67,55,0.0182,0.0333,0.999,0.999,59.9,0.0167,1.0000,1.00,400,0,204.19,0,1
221.69,54,0.0188,0.0332,0.998,0.998,60.0,0.0167,1.0000,1.00,400,0,205.21,0,1
222.70,52,0.0193,0.0338,1.001,1.001,59.7,0.0167,1.0000,1.00,400,0,206.21,0,1
223.71,38,0.0267,0.0353,0.999,0.999,60.0,0.0167,1.0000,1.00,400,0,207.23,0,1
224.72,38,0.0266,0.0423,1.000,1.000,60.2,0.0167,1.0000,1.00,400,0,208.24,0,1
225.73,39,0.0255,0.0394,0.994,0.994,59.9,0.0167,1.0000,1.00,400,0,209.24,0,1
226.74,45,0.0227,0.0411,1.008,1.008,60.2,0.0167,1.0000,1.00,400,0,210.26,0,1
227.75,47,0.0216,0.0424,1.000,1.000,60.0,0.0167,1.0000,1.00,400,0,211.27,0,1
228.77,51,0.0199,0.0363,1.000,1.000,60.0,0.0167,1.0000,1.00,400,0,212.29,0,1
229.78,56,0.0180,0.0331,1.000,1.000,60.4,0.0167,1.0000,1.00,400,0,213.30,0,1
230.80,50,0.0203,0.0420,0.998,0.998,59.9,0.0167,1.0000,1.00,400,0,214.31,0,1
231.81,53,0.0192,0.0481,1.002,1.002,60.2,0.0167,1.0000,1.00,400,0,215.33,0,1
232.83,56,0.0181,0.0227,0.999,0.999,59.1,0.0167,1.0000,1.00,400,0,216.34,0,1
233.84,49,0.0208,0.0402,1.001,1.001,60.0,0.0167,1.0000,1.00,400,0,217.36,0,1
234.86,46,0.0220,0.0534,1.000,1.000,60.3,0.0167,1.0000,1.00,400,0,218.37,0,1
235.86,46,0.0219,0.0513,1.001,1.001,60.6,0.0167,1.0000,1.00,400,0,219.38,0,1
236.87,51,0.0197,0.0338,0.999,0.999,59.7,0.0167,1.0000,1.00,400,0,220.38,0,1
237.88,52,0.0195,0.0349,1.000,1.000,60.2,0.0167,1.0000,1.00,400,0,221.40,0,1
238.88,52,0.0193,0.0293,1.000,1.000,59.9,0.0167,1.0000,1.00,400,0,222.40,0,1
239.89,47,0.0215,0.0461,1.000,1.000,59.4,0.0167,1.0000,1.00,400,0,223.41,0,1
240.96,45,0.0234,0.1108,0.989,0.989,60.0,0.0167,1.0000,1.00,400,0,224.46,0,1
241.96,50,0.0203,0.0332,1.012,1.012,60.8,0.0167,1.0000,1.00,400,0,225.48,0,1
242.96,50,0.0201,0.0348,1.001,1.001,59.8,0.0167,1.0000,1.00,400,0,226.48,0,1
243.97,53,0.0191,0.0404,1.001,1.001,59.5,0.0167,1.0000,1.00,400,0,227.49,0,1
